,Unnamed: 0,CountryCode,CurrentHandle,NameFirst,NameLast,PlayerId,TotalUSDPrize,Key,KL,kh
866,66,za,Shase,Travis,Weedon,27703,434.87,27703-Shase-Travis-Weedon,27703-Shase-Weedon-Travis,27703-Shase
867,67,de,iRa,Robert,Graf,2352,433.64,2352-iRa-Robert-Graf,2352-iRa-Graf-Robert,2352-iRa
868,68,es,Tanais,-,-,4396,430.35,4396-Tanais,4396-Tanais,4396-Tanais
869,69,kr,Weekend,Haeng-Seon,Lee,1128,430.15,1128-Weekend-Haeng-Seon-Lee,1128-Weekend-Lee-Haeng-Seon,1128-Weekend
870,70,us,MCanning,Chris,Canning,25977,430.0,25977-MCanning-Chris-Canning,25977-MCanning-Canning-Chris,25977-MCanning
871,71,es,IeZaeL,Javier,Parra,7363,425.0,7363-IeZaeL-Javier-Parra,7363-IeZaeL-Parra-Javier,7363-IeZaeL
872,72,no,King,Tom-Andre,Lærum,7393,420.62,7393-King-Tom-Andre-Lærum,7393-King-Lærum-Tom-Andre,7393-King
873,73,fi,Luolis,Valtteri,Argillander,5518,415.67,5518-Luolis-Valtteri-Argillander,5518-Luolis-Argillander-Valtteri,5518-Luolis
874,74,kr,Yong,Sung-Yong,Hong,1663,415.46,1663-Yong-Sung-Yong-Hong,1663-Yong-Hong-Sung-Yong,1663-Yong
875,75,dk,Avekatten,Andreas,Svendsen,3688,414.98,3688-Avekatten-Andreas-Svendsen,3688-Avekatten-Svendsen-Andreas,3688-Avekatten
876,76,cn,CNProtoss,Tong,Shen,12013,414.03,12013-CNProtoss-Tong-Shen,12013-CNProtoss-Shen-Tong,12013-CNProtoss
877,77,cn,DyyS,Fangming,Han,19600,403.23,19600-DyyS-Fangming-Han,19600-DyyS-Han-Fangming,19600-DyyS
878,78,pa,CocoA,Aaron,Deir,1327,400.0,1327-CocoA-Aaron-Deir,1327-CocoA-Deir-Aaron,1327-CocoA
879,79,pl,Yeldy,Rafal,Burzynski,2625,400.0,2625-Yeldy-Rafal-Burzynski,2625-Yeldy-Burzynski-Rafal,2625-Yeldy
880,80,sg,River,-,-,7290,400.0,7290-River,7290-River,7290-River
881,81,cr,Dashiz,Roberto,Matarrita,13770,400.0,13770-Dashiz-Roberto-Matarrita,13770-Dashiz-Matarrita-Roberto,13770-Dashiz
882,82,ae,Overdeath,-,-,23653,400.0,23653-Overdeath,23653-Overdeath,23653-Overdeath
883,83,tw,ChaToU,-,-,27325,400.0,27325-ChaToU,27325-ChaToU,27325-ChaToU
884,84,tw,naxiN,-,-,27327,400.0,27327-naxiN,27327-naxiN,27327-naxiN
885,85,tw,VetteL,-,-,27328,400.0,27328-VetteL,27328-VetteL,27328-VetteL
886,86,tw,麻麻十摳,-,-,27329,400.0,27329-麻麻十摳,27329-麻麻十摳,27329-麻麻十摳
887,87,co,eGGz,Sebastian,Latorre,40618,400.0,40618-eGGz-Sebastian-Latorre,40618-eGGz-Latorre-Sebastian,40618-eGGz
888,88,fi,Haspe,Jari,Haapasaari,24466,396.51,24466-Haspe-Jari-Haapasaari,24466-Haspe-Haapasaari-Jari,24466-Haspe
889,89,us,sWs,Stephen,Schnieder,6400,393.65,6400-sWs-Stephen-Schnieder,6400-sWs-Schnieder-Stephen,6400-sWs
890,90,fr,Laukyo,Laurent,Chung,3017,393.57,3017-Laukyo-Laurent-Chung,3017-Laukyo-Chung-Laurent,3017-Laukyo
891,91,fi,Jagelius,Jaakko,Koski,10316,392.31,10316-Jagelius-Jaakko-Koski,10316-Jagelius-Koski-Jaakko,10316-Jagelius
892,92,jp,TMjpg,-,-,8041,391.37,8041-TMjpg,8041-TMjpg,8041-TMjpg
893,93,ca,CRbox,Martin,Maindl,10098,389.64,10098-CRbox-Martin-Maindl,10098-CRbox-Maindl-Martin,10098-CRbox
894,94,cn,XiaoKai,Kai,Zhang,36658,386.4,36658-XiaoKai-Kai-Zhang,36658-XiaoKai-Zhang-Kai,36658-XiaoKai
895,95,kr,Cyrano,Yong-Jin,Kim,1688,386.0,1688-Cyrano-Yong-Jin-Kim,1688-Cyrano-Kim-Yong-Jin,1688-Cyrano
896,96,ua,OutSide,Roman,Emelyanov,14132,382.37,14132-OutSide-Roman-Emelyanov,14132-OutSide-Emelyanov-Roman,14132-OutSide
897,97,se,Era,Erik,Anderssen,3520,380.22,3520-Era-Erik-Anderssen,3520-Era-Anderssen-Erik,3520-Era
898,98,us,jheffe,Christoper,Hefferon,40015,375.0,40015-jheffe-Christoper-Hefferon,40015-jheffe-Hefferon-Christoper,40015-jheffe
899,99,pl,Miszu,Michal,Słomczyński,8047,371.86,8047-Miszu-Michal-Słomczyński,8047-Miszu-Słomczyński-Michal,8047-Miszu
900,0,no,CheesyJunk,Petter,Moen,7385,371.57,7385-CheesyJunk-Petter-Moen,7385-CheesyJunk-Moen-Petter,7385-CheesyJunk
901,1,cn,Ever,-,-,18106,370.82,18106-Ever,18106-Ever,18106-Ever
902,2,us,Zan,Ryan,Matter,17534,370.03,17534-Zan-Ryan-Matter,17534-Zan-Matter-Ryan,17534-Zan
903,3,de,NarutO,Silvano,Bovo,15512,369.96,15512-NarutO-Silvano-Bovo,15512-NarutO-Bovo-Silvano,15512-NarutO
904,4,fi,Core,Joonas,Kallio,5101,366.19,5101-Core-Joonas-Kallio,5101-Core-Kallio-Joonas,5101-Core
905,5,kr,lOvShinyStar,Seong-Rae,Kim,1093,364.15,1093-lOvShinyStar-Seong-Rae-Kim,1093-lOvShinyStar-Kim-Seong-Rae,1093-lOvShinyStar
906,6,ru,Couguar,Vitaly,Roshin,12393,363.0,12393-Couguar-Vitaly-Roshin,12393-Couguar-Roshin-Vitaly,12393-Couguar
907,7,kr,hero,Il-Jang,Jo,2049,361.84,2049-hero-Il-Jang-Jo,2049-hero-Jo-Il-Jang,2049-hero
908,8,kr,Revenge,Kim,Kun,9638,360.09,9638-Revenge-Kim-Kun,9638-Revenge-Kun-Kim,9638-Revenge
909,9,my,oneplus,-,-,7302,358.2,7302-oneplus,7302-oneplus,7302-oneplus
910,10,kr,Mujuk,Min-Ho,Jung,1130,354.12,1130-Mujuk-Min-Ho-Jung,1130-Mujuk-Jung-Min-Ho,1130-Mujuk
911,11,kr,Shark,Soo-Hyeong,Lee,3828,353.47,3828-Shark-Soo-Hyeong-Lee,3828-Shark-Lee-Soo-Hyeong,3828-Shark
912,12,kr,Punisher,Da-Han,Lee,2895,351.34,2895-Punisher-Da-Han-Lee,2895-Punisher-Lee-Da-Han,2895-Punisher
913,13,no,Odinsama,-,-,21268,351.06,21268-Odinsama,21268-Odinsama,21268-Odinsama
